Rank,Word,PartOfSpeech,Definition
970,слегка,adverb,slightly
971,мешок,noun,bag;sack
972,обещать,verb,to promise
973,дорогой,adjective,on the way
974,судить,verb,to judge;try
975,большинство,noun,majority
976,собраться,verb,to gather;collect
977,управление,noun,operation;control
978,колоть,verb,to prick
979,мокрый,adjective,wet
980,приказ,noun,order
981,прямой,adjective,straight
982,закричать,verb,to shout;cry out
983,кончиться,verb,to end
984,куст,noun,bush
985,стрелять,verb,to shoot
986,художник,noun,painter;artist
987,знак,noun,sign
988,завод,noun,factory
989,кулак,noun,fist
990,использовать,verb,to use;utilize;make use of
991,стакан,noun,glass
992,пахнуть,verb,to smell
993,отсюда,adverb,from here
994,рот,noun,mouth
